username,author_id,video_desc,video_id,upload_time,duration,was_duet,hashtags,music_artist,music_title,is_verified,author_followers,author_likes,author_hearts,author_video_count,saves,likes,shares,plays,comments
Rachel Song,7125860243498124294,after school vlog 🕺🏻 #videodiary#videodiaries#vlog#minivlog#vlogs#afterschool#schoolmorning#schoolroutine#dayinthelife#studytok#study#morningroutine#nightroutine#productivity ,7323443619719908614,1705122097,13,{'duetFromId': '0'},"['videodiary', 'videodiaries', 'vlog', 'minivlog', 'vlogs', 'afterschool', 'schoolmorning', 'schoolroutine', 'dayinthelife', 'studytok', 'study', 'morningroutine', 'nightroutine', 'productivity']",Slowed music,Slowed Resonance,False,254900,1312,8500000,168,159400,1400000,4088,6600000,2936
Juanjo Llovera,6751488986386678789,Mi cuñado @fernanfloo sigue enojado conmigo😂🥲 #vlog #humor #risa #fernanfloo #cuñado #viral #comedia #chiste #meme #hermanos,7129259556407938309,1659910095,18,{'duetFromId': '0'},"['', 'vlog', 'humor', 'risa', 'fernanfloo', 'cuñado', 'viral', 'comedia', 'chiste', 'meme', 'hermanos']",Juanjo Llovera,original sound,False,1400000,38000,44300000,2052,139300,1500000,5146,11900000,4227
Serena Stadler,126177178513416192,Being a chihuahua mom is a full time job😌 #madithechihuahua #dayinmylife #vlog #dogmom #cleaningvideos #asmrvideo #asmrcleaning ,7258647856507030827,1690035675,90,{'duetFromId': '0'},"['madithechihuahua', 'dayinmylife', 'vlog', 'dogmom', 'cleaningvideos', 'asmrvideo', 'asmrcleaning']",something……,original sound,False,6800000,4398,217200000,480,112700,1400000,71200,9800000,7213
natalie & the aguilars,6588077,definitely not letting him order after the club again 😭 he really asked for the “Ruben special” 🤦🏽‍♀️😂 #theaguilars #dadsoftiktok #vlog ,7237332319361600811,1685072751,35,{'duetFromId': '0'},"['theaguilars', 'dadsoftiktok', 'vlog']",Kevin MacLeod & Kevin The Monkey,Monkeys Spinning Monkeys,False,6800000,47100,1000000000,3081,78800,1400000,25700,8000000,1172
Barby Laliter,314785274579038208,Mandaselo a tu hermana para que te maquille😂❤️ @litmatch #litmatch #vlog #minivlog #hermanas #glowup #makeup #maquillaje #tutorialdemaquillaje,6971494993412279558,1623177669,46,{'duetFromId': '0'},"['', 'litmatch', 'vlog', 'minivlog', 'hermanas', 'glowup', 'makeup', 'maquillaje', 'tutorialdemaquillaje']",Barby Laliter,sonido original,False,4500000,5476,106500000,967,17100,1400000,942,10800000,1954
김프로 KIMPRO,6936481724801762305,결과를 예상했나요? @kkubi99 #남매 #vlog #tlog #xyzbca #fyp #티로그 #브이로그 #추천,7074894855972850946,1647252324,16,{'duetFromId': '0'},"['', '남매', 'vlog', 'tlog', 'xyzbca', 'fyp', '티로그', '브이로그', '추천']",김프로 KIMPRO,오리지널 사운드 - 유희왕,False,4400000,2982,63900000,1154,15500,1400000,2161,43800000,1612
Mahen,7071075700467598363,#CapCut did u feel what i feel?#fypシ #vlog #dreamfilter #retro #foryou ,7255607567949352198,1689327782,10,{'duetFromId': '0'},"['capcut', 'fypシ', 'vlog', 'dreamfilter', 'retro', 'foryou']",EX7STENCE™,homage,False,129200,117400,13600000,850,268800,1400000,44500,8300000,2408
Lucie in the Sky,6558509910162046982,"A reaction video is coming tonight!! Until then, grwm 🐔🫶🏼 #lucieinthesky #foryoupage #robotmommy #fyp #chickenlegs #vlog #grwm #dayinmylife ",7350740780526423338,1711477719,267,{'duetFromId': '0'},"['lucieinthesky', 'foryoupage', 'robotmommy', 'fyp', 'chickenlegs', 'vlog', 'grwm', 'dayinmylife']",Lucie in the Sky,original sound,False,226400,38000,9300000,583,63800,1400000,244000,8200000,4986
Kit Price,6807398600261600257,Did I to fly to America just to experience target for the first time? Pftt… maybe #target #nyc #vlog ,7265716786694262018,1691681520,77,{'duetFromId': '0'},"['target', 'nyc', 'vlog']",Kit Price,original sound,True,1000000,8381,62400000,402,78000,1400000,14400,7700000,3974
Maddy MacLachlan,6696684809785410565,Wholesome movie night w the parents #foryou #fyp #xyzcba #vlog #movie #loveisintheair #superbowlliv,6788726587480100102,1580623585,56,{'duetFromId': '0'},"['foryou', 'fyp', 'xyzcba', 'vlog', 'movie', 'loveisintheair', 'superbowlliv']",Maddy MacLachlan,original sound,False,742000,223500,41700000,134,32400,1400000,8122,4900000,2495
Moncus🌙,6577008429516226561,1 mana cukup 😝🤣 #slimediaryid #fyp #vlog #popit,6947938337130843393,1617692958,49,{'duetFromId': '0'},"['slimediaryid', 'fyp', 'vlog', 'popit']",emmanueljamir,Squidville,False,3600000,43100,155200000,1082,14500,1400000,10400,12700000,56100
Elaina,6804893695968674821,ASMR morning routine + come to work with me 🤍 #vlog #dailyvlog #dayinmylife #morningvlog #dailyroutine #productive #minivlog #officelife #asmr #asmrsounds #relatable #cleangirl #cleangirlaesthetic ,7273201838793493802,1693424284,52,{'duetFromId': '0'},"['vlog', 'dailyvlog', 'dayinmylife', 'morningvlog', 'dailyroutine', 'productive', 'minivlog', 'officelife', 'asmr', 'asmrsounds', 'relatable', 'cleangirl', 'cleangirlaesthetic']",Elaina,original sound,False,1700000,47500,48000000,1262,104200,1400000,20100,14100000,2871
Sandra,285572786755166208,#vlog,7103309627982499077,1653868156,72,{'duetFromId': '0'},['vlog'],Sandra,som original,False,1500000,766,68800000,565,43300,1400000,16300,6100000,7107
Marissa,6986684649441018885,"Cleaning my kitchen after neglecting tidying up, dishes, and other chores for a few days…featuring my ADHD…DONT JUDGE ME 🥲😅🧼🧹  #adhd #adhdcleaning #relatablecleaning #relatable #vlog #adhdprobs #adhder #funnyvlog #stayathome #wfh #cleantok #cleaning #cleaninginspo #kitchen ",7213523538505125166,1679529343,75,{'duetFromId': '0'},"['adhd', 'adhdcleaning', 'relatablecleaning', 'relatable', 'vlog', 'adhdprobs', 'adhder', 'funnyvlog', 'stayathome', 'wfh', 'cleantok', 'cleaning', 'cleaninginspo', 'kitchen']",Marissa,original sound,False,117400,14300,3400000,201,72200,1400000,31100,7300000,5486
percebe,6641213808978853893,Que mas crees poder hacer con todo esto? 😱 #tecnologia #series #vlog #smarterconlenovo #gamer,7036890024889076998,1638403636,59,{'duetFromId': '0'},"['tecnologia', 'series', 'vlog', 'smarterconlenovo', 'gamer']",JidScan,On Fire Tonight,False,1300000,58400,21600000,366,178700,1400000,55800,9600000,8759
Mando and Steven,6917772277124301829,Walking My Cat Tiktok Live Highlights Episode 1 #vlog #leashedcat #leashtrainedcat #catwalk #catdad,7051002848242355502,1641689532,86,{'duetFromId': '0'},"['vlog', 'leashedcat', 'leashtrainedcat', 'catwalk', 'catdad']",Mando and Steven,original sound,False,983900,5898,37500000,337,30800,1400000,32800,7300000,8869
Anna Wilson,72936824834232320,what i did after school on tuesday 🌻 #fyp #foryou #pourtoi #vlog #afterschoolroutine #onlineschool #runner #student #productive #OurHouse2021,6935825422999375109,1614872701,40,{'duetFromId': '0'},"['fyp', 'foryou', 'pourtoi', 'vlog', 'afterschoolroutine', 'onlineschool', 'runner', 'student', 'productive', 'ourhouse2021']",Adam Wright,original sound,False,489500,40500,28000000,831,228100,2800000,32500,12100000,27400
