username,author_id,video_desc,video_id,upload_time,duration,was_duet,hashtags,music_artist,music_title,is_verified,author_followers,author_likes,author_hearts,author_video_count,saves,likes,shares,plays,comments
Tredy,6736960353282163717,#valorant #csgo #counterstrike #counterstrikeglobaloffensive #meme #community #funny #russia #russian ,7195926756942040325,1675432264,29,{'duetFromId': '0'},"['valorant', 'csgo', 'counterstrike', 'counterstrikeglobaloffensive', 'meme', 'community', 'funny', 'russia', 'russian']",Tredy,original sound,False,15800,340200,1000000,142,111200,548200,23900,4100000,5184
ElCharlioHD,7154337511111197702,🤣 EL MEJOR CLIP DE VALORANT!! #valorant #valorantfunny #fyp #valorantgaming #valorantclip #memesvalorant #valorantclips #viralvalorant #yoruclips,7167380109068930310,1669059900,8,{'duetFromId': '0'},"['viralvalorant', 'yoruclips', 'valorant', 'valorantfunny', 'fyp', 'valorantgaming', 'valorantclip', 'memesvalorant', 'valorantclips']",ElCharlioHD,sonido original,False,8502,27,1500000,164,45900,547900,15100,4500000,2283
PINE 🎙,7119788109492405291,“BRO how is your mic so clear?!” … I work for the radio 🤣 #pinefm #valorant #pineonval #fyp #valorantclips #valorantgaming #voiceactor #streamer #valorantfunny #radio,7127408918313061678,1659479209,23,{'duetFromId': '0'},"['pinefm', 'valorant', 'pineonval', 'fyp', 'valorantclips', 'valorantgaming', 'voiceactor', 'streamer', 'valorantfunny', 'radio']",PINE 🎙,original sound,False,703600,5013,14800000,227,46600,547300,1522,3600000,988
HEROIC,6951756241069196294,every single time. #gaming #csgo #valorant #fortnite #CapCut ,7223684389752868139,1681895210,6,{'duetFromId': '0'},"['gaming', 'csgo', 'valorant', 'fortnite', 'capcut']",sped up 8282,Cupid – Twin Ver. (FIFTY FIFTY) – Sped Up Version,True,275300,2383,22400000,352,41300,546600,33800,3900000,3339
ImaCarrot🥕,7131810726633112618,New Sage boost is crazy #fyp #valorant #valorantclip #valorantclips #valorantfunny #valorantmemes ,7178438999990734123,1671360675,9,{'duetFromId': '0'},"['fyp', 'valorant', 'valorantclip', 'valorantclips', 'valorantfunny', 'valorantmemes']",💫,lilac,False,117300,303,5200000,134,47100,546400,12400,4300000,2539
TenZ,6797421012884620294,Pros don't fake #valorant #twitchstreamer #tenz,7079907373468650798,1648419391,18,{'duetFromId': '0'},"['valorant', 'twitchstreamer', 'tenz']",TenZ,original sound,True,1800000,5117,51100000,477,13200,546800,1680,4700000,1091
willius,6904997481626960902,throwing my IRL elo tbh #valorant #valorantaccent #sinatraa,7088884705235307818,1650509589,55,{'duetFromId': '0'},"['valorant', 'valorantaccent', 'sinatraa']",willius,original sound,False,689600,1413,21800000,155,15700,546200,9440,3300000,4891
binge my cringe,7055317803063657518,@DOB.Valorant i got this idea from this mf thanks for the lineup idea #fyp #foryou #foryoupage #val #trending #viral #valorant #xyzbca #valorantclips #gaming,7062676098026491183,1644407426,28,{'duetFromId': '0'},"['', 'fyp', 'foryou', 'foryoupage', 'val', 'trending', 'viral', 'valorant', 'xyzbca', 'valorantclips', 'gaming']",Chris 🛸,Money so big instrumental,False,21300,837,1400000,390,30400,545900,9324,4900000,2437
Dexerto,6712350462078125062,Twitch Streamer’s WORST Nightmare! #Valorant  #Twitch,7198569784412228870,1676178000,38,{'duetFromId': '0'},"['valorant', 'twitch']",Dexerto,original sound - Dexerto,True,1600000,78,110200000,470,57400,545800,707,4700000,5853
lee || shower stomper,6981230010435585026,Lee VS Enoki 😡😰😤 #foryou #foryoupage #anime #valorant #valorantfunny #gaming #japan #valorantclips,7079800510638804226,1648394511,53,{'duetFromId': '0'},"['foryou', 'foryoupage', 'anime', 'valorant', 'valorantfunny', 'gaming', 'japan', 'valorantclips']",lee || shower stomper,original sound,False,2000000,444,65300000,279,34100,545700,5715,3200000,2403
